id,date,price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,floors,has_waterfront,view_quality,condition_rating,grade_rating,above_ground_sqft,basement_sqft,year_built,year_renovated,zipcode,sqft_living15,sqft_lot15
98,2015-02-06,410000,4,2,1510,3240,1,0,0,5,7,870,640,1901,0,98144,1420,5160
99,2014-06-23,405000,2,1,860,2599,1,0,0,4,6,860,0,1901,0,98107,1300,3900
100,2014-12-18,630000,5,1,3020,4800,2,0,0,3,7,3020,0,1901,0,98122,1350,1307
101,2015-01-26,600000,3,2,1310,5000,2,0,0,4,7,1310,0,1901,0,98107,1270,4750
102,2014-11-06,774000,4,3,2010,7000,2,0,0,5,8,2010,0,1901,0,98199,1420,4400
103,2015-02-09,432500,4,2,1500,1856,1,0,0,5,7,750,750,1901,0,98144,1220,1739
104,2015-03-23,386500,4,1,1400,3600,1,0,0,4,6,700,700,1901,0,98144,1690,3600
105,2014-07-24,535610,3,1,1610,5100,1.5,0,0,5,7,1010,600,1901,0,98117,1270,5100
106,2014-07-07,570000,3,1,1890,3330,1.5,0,0,4,7,1390,500,1901,0,98103,1530,3330
107,2014-07-09,599000,7,3,2580,5750,1,0,0,4,7,1880,700,1901,0,98122,2280,5750
108,2015-04-27,380000,3,1,1220,3000,1.5,0,0,3,6,1220,0,1901,0,98103,1350,3000
109,2015-04-21,546000,4,3,1790,3600,1.5,0,0,3,8,1790,0,1901,0,98122,1770,3119
110,2014-08-14,680000,8,3,2530,4800,2,0,0,4,7,1390,1140,1901,0,98112,1540,4800
111,2014-12-16,589000,4,1,2210,4366,2,0,0,3,8,2210,0,1901,0,98122,1740,1745
112,2015-05-07,865000,4,2,2750,5527,2,0,0,3,8,2130,620,1901,1987,98119,1290,1764
113,2014-07-28,590000,3,1,1530,2370,2,0,0,3,8,1530,0,1901,0,98122,1310,2370
114,2014-06-11,427000,4,1,1860,4736,1.5,0,0,1,7,1860,0,1901,0,98112,1800,4000
115,2014-11-25,1225000,5,2,3440,5000,2,0,2,5,9,3440,0,1901,0,98122,2822,5000
116,2014-09-04,625000,3,3,2240,3600,2.5,0,0,3,7,1650,590,1901,0,98102,1716,3120
117,2014-06-03,650000,5,3,2550,5040,1.5,0,0,5,8,2550,0,1902,0,98122,1590,3840
118,2014-05-11,842500,4,3,2160,5298,2.5,0,0,4,9,2160,0,1902,0,98122,1720,2283
119,2014-06-11,665000,6,3,4250,4400,2.5,0,0,4,7,3020,1230,1902,0,98118,1520,4950
120,2014-06-24,660000,2,2,2550,6000,2,0,0,5,7,1860,690,1902,0,98115,2010,4000
121,2014-06-19,1325000,4,3,2440,3600,2.5,0,0,4,8,2440,0,1902,0,98119,2440,5440
122,2014-08-05,520000,3,2,1410,2700,2,0,0,4,7,1410,0,1902,0,98122,1750,4000
123,2014-09-04,624000,4,3,1540,4140,1.5,0,0,5,7,1540,0,1902,0,98107,1460,5000
124,2015-04-06,1160000,4,3,2680,15438,2,0,2,3,8,2680,0,1902,1956,98039,4480,14406
125,2014-11-12,449950,3,2,1880,3048,2,0,0,4,7,1880,0,1902,0,98122,1680,3600
126,2014-05-27,751750,2,2,1880,5400,1.5,0,0,3,8,1880,0,1902,0,98112,1590,5400
127,2015-02-18,286000,4,2,1600,5750,2,0,0,4,6,1600,0,1902,0,98118,1690,5750
128,2015-04-08,390000,3,1,1240,3600,1.5,0,0,3,7,1240,0,1902,0,98144,1680,3600
129,2015-01-28,350000,2,1,1070,2880,1,0,0,3,7,1070,0,1902,0,98102,2030,2880
130,2015-03-01,490000,3,1,1180,2250,1.5,0,0,3,7,1180,0,1902,0,98117,1320,5100
131,2014-09-23,317500,2,1,1000,5120,1,0,0,3,6,1000,0,1902,0,98122,1940,4300
132,2014-07-07,443000,5,2,1650,3000,1.5,0,0,3,8,1650,0,1902,0,98144,1740,4000
133,2014-05-05,740000,4,2,2010,3600,1.5,0,0,3,7,2010,0,1902,0,98119,2010,3600
134,2015-05-13,900000,3,2,1540,8400,1.5,0,0,3,7,1540,0,1902,0,98122,1330,4800
135,2015-02-26,525000,3,1,1010,3520,1,0,0,3,7,1010,0,1902,0,98102,1300,1233
136,2014-09-08,750000,5,3,2860,6000,2.5,0,0,4,8,2380,480,1902,0,98144,2240,6000
137,2014-07-25,260000,3,2,1170,5450,1,0,0,5,6,1170,0,1902,0,98118,1340,6384
138,2014-07-24,431000,4,3,1450,3600,1.5,0,0,3,7,1250,200,1902,0,98144,1680,3600
139,2014-08-04,780500,5,1,1760,4264,2,0,0,3,8,1760,0,1902,0,98112,2130,4264
140,2014-06-27,480000,2,1,1500,3420,1,0,0,3,7,1500,0,1902,0,98103,2050,3420
141,2014-06-26,1990000,5,3,4480,5000,2.5,0,0,5,12,3420,1060,1902,0,98112,3220,5600
142,2014-09-22,591000,3,2,1460,3600,2,0,0,3,7,1460,0,1902,0,98122,1590,1210
143,2014-11-13,799000,3,1,1510,4178,2,0,0,3,8,1510,0,1902,1979,98103,2140,4916
144,2014-08-19,640000,3,3,2160,4000,1.5,0,0,3,8,1960,200,1903,2013,98122,2160,5120
145,2014-11-26,495000,2,2,1850,2530,2.5,0,0,4,7,1850,0,1903,0,98122,1500,1795
146,2014-11-20,440000,3,1,1610,5500,1.5,0,0,3,7,1610,0,1903,1973,98103,1200,5701
147,2014-06-04,200000,3,2,2060,15837,1.5,0,0,3,6,2060,0,1903,0,98055,2190,8549
148,2015-01-16,415000,3,1,1560,4500,1.5,0,0,3,7,1560,0,1903,0,98122,1660,4500
149,2014-06-12,580000,5,2,2060,6000,2,0,0,3,7,2060,0,1903,0,98105,1770,5000
150,2014-08-07,311000,2,1,860,3300,1,0,0,5,6,860,0,1903,0,98118,1380,4400
151,2014-10-23,402500,4,1,1270,3630,1.5,0,0,3,7,1270,0,1903,0,98122,1420,4848
152,2014-10-01,429592,2,2,1992,10946,1.5,1,4,5,6,1288,704,1903,0,98070,1110,8328
153,2014-09-24,167500,3,1,760,3090,1,0,0,2,5,760,0,1903,0,98118,1020,5356
154,2014-10-22,825000,4,2,2040,6900,2,0,0,3,9,2040,0,1903,0,98112,3150,8220
155,2014-05-15,197500,3,1,980,3090,1.5,0,0,3,6,980,0,1903,0,98118,980,3090
156,2014-07-18,567035,3,2,2064,46173,2,0,0,5,7,2064,0,1903,0,98070,1640,21780
157,2015-04-06,650500,3,2,1740,4400,1.5,0,0,3,8,1740,0,1903,0,98122,1740,4400
158,2014-05-14,682000,3,2,1830,5120,1.5,0,2,5,8,1830,0,1903,0,98122,2120,5120
159,2015-02-06,225000,3,1,1340,4800,1.5,0,0,4,5,1340,0,1903,0,98055,1240,4800
160,2014-10-24,230000,3,1,680,2400,1,0,0,4,6,680,0,1903,0,98144,1470,3600
161,2014-11-26,345000,3,1,1390,2640,1.5,0,0,3,7,1230,160,1903,0,98122,1780,3920
162,2014-06-19,311000,3,2,1900,3000,1.5,0,0,5,7,1070,830,1903,0,98118,1130,6000
163,2015-02-19,935000,4,2,1220,7489,2,0,0,3,7,1220,0,1903,0,98122,1220,3750
164,2014-11-07,449000,3,2,1270,6600,1.5,0,0,5,7,1270,0,1903,0,98144,1490,3600
165,2014-12-11,752000,4,2,1650,2970,1.5,0,0,3,7,1650,0,1903,0,98102,1670,2970
166,2015-01-02,520000,3,1,940,3000,1.5,0,0,3,7,940,0,1903,0,98122,1210,3500
167,2015-04-22,325000,2,1,1010,6180,1,0,0,3,6,1010,0,1903,0,98118,1560,6180
168,2014-06-03,545000,3,2,1810,3000,1.5,0,0,4,7,1810,0,1903,0,98107,1140,3000
169,2014-10-09,725000,3,2,1790,6000,1.5,0,0,4,7,1790,0,1903,0,98115,1290,3500
170,2014-06-26,750000,4,3,1750,5080,1.5,0,0,3,8,1750,0,1903,0,98122,1700,4572
171,2014-10-09,349950,4,2,1780,5000,1,0,0,5,7,890,890,1903,0,98108,1860,5000
172,2014-09-16,550000,2,2,1300,2970,1,0,0,3,7,990,310,1903,0,98102,1700,3000
173,2015-04-09,465000,3,1,800,3060,1.5,0,0,4,6,800,0,1903,0,98117,1180,3060
174,2014-12-02,230000,6,2,2140,36509,1.5,0,0,4,8,2140,0,1903,1979,98001,1710,12000
175,2015-02-02,519000,3,2,2000,5680,1,0,0,4,7,1080,920,1903,0,98117,1230,4535
176,2015-03-27,555000,3,1,1250,4590,1.5,0,0,3,6,970,280,1903,0,98115,1830,4080
177,2014-06-27,1020000,3,2,1670,4800,1.5,0,3,3,8,1670,0,1903,0,98119,2300,4800
178,2015-03-26,170000,1,1,850,5600,1,0,2,3,6,850,0,1903,1994,98019,900,12250
179,2014-07-23,425000,3,1,1280,3200,1.5,0,0,3,7,1280,0,1903,0,98122,1320,1676
180,2014-11-11,457000,3,2,1690,6375,1,0,0,3,8,1690,0,1903,2002,98024,1270,7774
181,2014-07-10,525000,2,2,1340,3600,1.5,0,0,3,7,1340,0,1903,0,98119,1340,3600
182,2015-01-22,650000,2,2,1450,4000,1.5,0,0,4,7,1350,100,1903,0,98105,1310,4000
183,2014-05-06,499000,2,2,1170,2400,1,0,0,4,7,740,430,1903,0,98103,1570,3919
184,2014-10-20,310000,3,1,1330,3740,1.5,0,0,3,6,1330,0,1903,0,98118,1330,5053
185,2015-04-22,389000,3,1,1330,3740,1.5,0,0,3,6,1330,0,1903,0,98118,1330,5053
186,2014-07-17,235000,2,1,670,5600,1,0,0,3,6,670,0,1903,0,98108,1960,7176
187,2015-02-24,540000,2,1,1170,4750,1,0,0,3,6,1170,0,1903,0,98107,1170,2023
188,2014-11-18,774900,5,1,1750,3861,1.5,0,0,3,7,1750,0,1903,0,98122,1700,4255
189,2014-05-20,345600,5,4,2800,5120,2.5,0,0,3,9,2800,0,1903,2005,98122,1780,5120
190,2014-12-30,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,1730,4700
191,2015-03-20,410000,4,1,1970,4740,1.5,0,0,3,7,1670,300,1904,2005,98122,1510,4740
192,2015-04-21,435000,3,2,1300,3348,1.5,0,0,3,7,1300,0,1904,2014,98144,1590,2577
193,2015-02-18,330000,4,1,1100,5000,1.5,0,0,5,6,1100,0,1904,0,98055,1560,4838
194,2015-05-12,885000,3,2,2200,2880,2,0,0,5,7,1440,760,1904,0,98112,2440,4640
195,2014-05-22,494400,2,2,1560,1750,1,0,0,4,6,780,780,1904,0,98109,1850,3600
196,2015-01-26,716000,3,2,1420,3600,1.5,0,0,4,7,1420,0,1904,0,98119,1250,3600
197,2015-03-25,221000,3,1,1240,5250,1.5,0,0,4,6,1240,0,1904,0,98055,1240,5250
198,2014-05-14,538000,3,2,1400,3825,1.5,0,0,4,6,1100,300,1904,0,98117,1720,5100
199,2015-01-21,452000,2,1,980,5000,1,0,0,3,6,980,0,1904,0,98107,1270,4500
200,2014-09-30,764000,3,2,1420,4080,1.5,0,0,5,8,1420,0,1904,0,98103,1220,3060
201,2015-04-02,420000,2,2,1200,3136,1,0,0,3,7,800,400,1904,2005,98122,1330,3164
202,2014-07-14,980000,5,3,2750,6000,1.5,0,0,3,8,1750,1000,1904,1994,98103,1520,4158
203,2014-06-23,345000,3,1,1140,4200,2,0,0,4,7,1140,0,1904,0,98144,1510,4000
204,2015-03-25,350000,3,1,1190,3600,1.5,0,0,3,6,1190,0,1904,0,98144,1680,3600
205,2014-10-23,204995,2,1,970,8185,1,0,0,5,6,970,0,1904,0,98031,1500,12541
206,2014-06-12,350000,4,2,2300,4600,1.5,0,0,4,7,1340,960,1904,0,98144,1540,3000
207,2014-11-11,515000,2,2,1400,5000,1,0,0,4,7,1150,250,1904,0,98107,1530,4200
208,2014-06-06,500000,4,1,1720,4011,1.5,0,0,4,7,1720,0,1904,0,98107,1580,3784
209,2014-09-23,245000,2,1,1120,5650,1,0,1,3,6,720,400,1904,0,98118,2160,6480
210,2015-03-16,345000,2,1,960,2700,1,0,0,3,6,780,180,1904,0,98144,1400,3000
211,2014-05-07,420000,2,2,1040,3500,1.5,0,0,4,6,1040,0,1904,0,98144,1340,1213
212,2014-05-16,785000,3,2,2180,5440,1,0,0,5,7,1100,1080,1904,0,98103,1470,4109
213,2014-12-10,733500,3,2,2120,4370,1.5,0,0,3,8,2120,0,1904,0,98122,1960,5120
214,2014-08-07,292000,2,1,880,5500,1,0,0,3,6,880,0,1904,0,98118,1080,5500
215,2014-06-28,650000,2,1,1050,2542,1,0,0,3,7,880,170,1904,0,98122,1620,1809
216,2014-09-11,415000,2,1,910,3750,1,0,0,3,7,910,0,1904,0,98117,1160,4000
217,2014-08-12,403504,4,1,1060,5750,1,0,0,3,6,950,110,1904,0,98199,1790,5857
218,2014-09-18,885000,3,2,2590,3750,1.5,0,0,5,7,1790,800,1904,0,98109,2440,4000
219,2014-09-26,279000,2,1,1020,47044,1,0,0,5,7,1020,0,1904,1958,98042,1930,12139
220,2015-03-04,750000,2,2,1110,3600,1,0,0,5,7,1110,0,1904,0,98119,1670,5400
221,2015-04-09,500000,2,1,930,3200,1,0,0,3,7,930,0,1904,0,98122,1690,3840
222,2014-10-14,687500,3,2,1280,2114,1.5,0,0,3,8,1280,0,1904,0,98122,1540,1456
223,2014-08-21,478000,2,2,1960,6000,1,0,0,4,7,980,980,1904,0,98199,1650,6000
224,2015-02-20,550000,3,1,1110,6000,1,0,0,3,7,1110,0,1904,0,98109,1460,6000
225,2015-04-22,456200,2,2,1210,7733,1,0,0,3,6,1210,0,1904,0,98125,1670,7733
226,2015-02-24,589000,3,2,920,3600,1,0,0,4,6,820,100,1904,0,98119,1620,3600
227,2015-04-23,1025000,3,3,2780,4000,2,0,2,5,8,1960,820,1904,0,98103,1490,4800
228,2014-07-16,350000,3,1,1790,3876,1.5,0,0,5,7,1090,700,1904,0,98144,1360,4080
229,2015-02-10,615000,3,1,1790,3876,1.5,0,0,5,7,1090,700,1904,0,98144,1360,4080
230,2014-06-30,435000,4,2,1880,3840,1,0,0,3,7,970,910,1904,0,98144,1670,1820
231,2014-09-15,299950,2,1,800,3000,1,0,0,3,6,800,0,1904,0,98118,1640,3400
232,2014-10-20,3300000,8,4,7710,11750,3.5,0,0,5,12,6090,1620,1904,0,98112,4210,8325
233,2014-08-15,345000,3,1,1010,3060,1.5,0,0,3,6,1010,0,1904,0,98118,1330,4590
234,2014-08-11,885000,2,2,1313,3600,1,0,0,3,8,1313,0,1904,2012,98119,1080,3600
235,2015-03-04,570000,3,2,1260,3328,1,0,0,5,6,700,560,1905,0,98103,1380,3536
236,2014-06-25,890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,2200,4000
237,2015-05-13,2050000,5,3,3830,8480,2,0,1,5,9,2630,1200,1905,1994,98122,3050,7556
238,2015-04-07,795000,2,1,1380,5000,1.5,0,2,3,5,1380,0,1905,0,98106,1500,5000
239,2014-06-12,2250000,5,4,4860,9453,1.5,0,1,5,10,3100,1760,1905,0,98112,3150,8557
240,2014-11-05,631000,5,2,2270,2400,2,0,0,3,7,2270,0,1905,0,98122,1320,2400
241,2014-06-30,1200000,4,2,2120,3360,2,0,0,3,9,2120,0,1905,0,98112,2090,3600
242,2014-08-11,495000,2,1,970,4284,1,0,0,3,7,970,0,1905,0,98103,2050,4284
243,2015-03-18,780000,5,2,1940,4800,2,0,0,3,8,1940,0,1905,0,98103,1750,4800
244,2014-09-24,1315000,4,2,3180,6105,2,0,0,3,10,3180,0,1905,0,98112,3180,6029
245,2014-12-21,1045000,4,3,2790,3600,2,0,0,3,8,1880,910,1905,2013,98119,1360,3600
246,2015-04-27,852000,3,3,2400,4000,2,0,0,3,7,1860,540,1905,0,98102,1750,3940
247,2014-10-23,327000,4,1,1620,6000,1.5,0,0,5,7,1620,0,1905,0,98055,1310,6000
248,2014-10-17,782000,4,2,1500,6820,1.5,0,0,5,7,1500,0,1905,0,98117,1360,4125
249,2014-08-14,400000,6,2,2350,6554,2,0,1,3,8,2000,350,1905,0,98178,1560,6554
250,2014-06-13,285000,3,2,1840,8601,1,0,0,3,7,920,920,1905,2014,98118,1390,7452
251,2014-11-13,210000,3,1,1200,7500,1,0,0,3,6,1200,0,1905,1989,98178,1010,7000
252,2015-01-22,157500,2,1,670,4500,1,0,0,3,5,670,0,1905,0,98108,1210,4500
253,2014-08-12,474000,2,1,1050,403365,1,0,3,5,6,1050,0,1905,0,98022,1760,108900
254,2014-06-19,197500,3,1,1330,5412,2,0,0,5,7,1330,0,1905,0,98022,1710,10825
255,2014-07-16,345000,3,1,1120,10176,1,0,0,3,6,920,200,1905,0,98118,1350,7500
256,2014-11-25,549000,3,2,1340,3000,2,0,0,5,7,1340,0,1905,0,98103,1120,3000
257,2015-04-14,935000,4,2,2580,4500,2,0,0,4,9,1850,730,1905,0,98102,2590,4100
258,2014-06-20,1325000,4,2,2870,6280,1.5,0,0,4,9,1980,890,1905,0,98112,2370,4760
259,2014-06-13,1030000,4,3,2750,4800,2,0,0,3,9,1960,790,1905,2005,98103,2400,5300
260,2015-04-28,863500,4,3,3250,2760,2.5,0,0,3,8,2420,830,1905,2007,98122,1260,2780
261,2014-07-02,580000,3,2,1900,3960,1.5,0,0,3,8,1200,700,1905,0,98122,1310,3960
262,2014-08-27,950000,3,2,2250,2975,2,0,0,4,9,1880,370,1905,0,98112,2690,4800
263,2015-02-25,450000,3,2,1010,2820,1.5,0,0,3,7,1010,0,1905,0,98122,1330,3000
264,2015-03-03,90000,1,1,780,4000,1,0,0,3,5,780,0,1905,0,98108,1150,4000
265,2014-12-09,2193000,3,2,3360,7108,2,0,0,3,10,2770,590,1905,2004,98112,3450,8558
